0.2694	0.2604	0.2513	0.2432	0.2381	0.2305	0.2245	0.2189	0.2126	0.2076	0.2795	0.2796	0.2792	0.2792	0.2796	0.2704	0.2611	0.2523	0.245	0.2386	0.2314	0.2259	0.2188	0.2135	0.2086	0.2801	0.2804	0.2802	0.2801	0.2802	0.3439	0.3389	0.3314	0.3223	0.3138	0.3042	0.2958	0.2859	0.2796	0.2722	0.347	0.3471	0.3471	0.3469	0.3472	0.3752	0.3647	0.353	0.3397	0.3308	0.3209	0.3126	0.3039	0.297	0.2913	0.3921	0.3902	0.3905	0.3905	0.392	0.2773	0.2681	0.2603	0.2521	0.2448	0.2387	0.2315	0.2249	0.2199	0.2136	0.2884	0.2879	0.2883	0.2881	0.2885	0.2499	0.2425	0.235	0.2277	0.2206	0.214	0.208	0.2033	0.1964	0.1925	0.2605	0.2597	0.261	0.2609	0.2605	0.3857	0.3719	0.3607	0.3484	0.3381	0.3288	0.3177	0.3093	0.3014	0.2943	0.4021	0.4022	0.4023	0.4022	0.4021	0.3623	0.3515	0.3394	0.3299	0.3195	0.3095	0.3031	0.2945	0.2866	0.2793	0.3765	0.3767	0.3768	0.3768	0.3766	0.246	0.2411	0.2334	0.2269	0.2193	0.2134	0.2081	0.2027	0.1974	0.1926	0.2496	0.2497	0.2496	0.2495	0.2497	0.3532	0.3435	0.3341	0.3242	0.3138	0.3045	0.2966	0.2896	0.2817	0.2745	0.3633	0.3632	0.3634	0.363	0.3633
0.3406	0.3292	0.3178	0.3077	0.3009	0.2913	0.2837	0.2765	0.2687	0.2623	0.3531	0.3535	0.3527	0.3527	0.3535	0.2736	0.2645	0.2554	0.248	0.2415	0.2342	0.2288	0.2215	0.2162	0.2112	0.2833	0.2838	0.2834	0.283	0.2838	0.4507	0.442	0.4315	0.4191	0.4074	0.3953	0.3842	0.3715	0.3632	0.3535	0.4585	0.4587	0.4586	0.4582	0.4589	0.5529	0.5371	0.5198	0.5009	0.4872	0.4729	0.4601	0.4478	0.4373	0.4284	0.5772	0.5754	0.5757	0.5757	0.5772	0.2997	0.2897	0.2813	0.2725	0.2646	0.2578	0.2502	0.2432	0.2377	0.2309	0.3114	0.3111	0.3117	0.3112	0.3119	0.2962	0.2873	0.2785	0.2698	0.2615	0.2535	0.2465	0.2407	0.2327	0.2279	0.3086	0.3081	0.3093	0.3091	0.3087	0.464	0.4474	0.4337	0.4188	0.4067	0.3954	0.3821	0.3721	0.3625	0.3541	0.4837	0.4836	0.4838	0.4837	0.4838	0.6266	0.6077	0.5872	0.5704	0.5519	0.5353	0.5236	0.5089	0.4954	0.4822	0.6516	0.6519	0.6516	0.6516	0.6516	0.2436	0.2388	0.231	0.2247	0.2171	0.2113	0.2061	0.2008	0.1953	0.2468	0.2468	0.2471	0.247	0.2468	0.2469	0.38	0.3697	0.3595	0.3487	0.3377	0.3275	0.319	0.3113	0.303	0.2951	0.391	0.3911	0.3914	0.3908	0.3911
0.2331	0.2255	0.2176	0.2105	0.206	0.1996	0.1944	0.1897	0.1841	0.1797	0.2424	0.2422	0.2421	0.2422	0.2422	0.3518	0.3396	0.3282	0.3182	0.3102	0.3007	0.2936	0.2843	0.2775	0.2711	0.3648	0.3645	0.3648	0.3651	0.3645	0.3839	0.3773	0.3687	0.3581	0.3488	0.338	0.3286	0.318	0.3106	0.3025	0.3889	0.3884	0.3887	0.389	0.3886	0.4016	0.3903	0.3777	0.3636	0.3539	0.3434	0.3345	0.3251	0.3179	0.3116	0.42	0.4183	0.4184	0.4184	0.42	0.3203	0.3094	0.3006	0.2909	0.2825	0.2755	0.2673	0.2595	0.2537	0.2466	0.3334	0.3326	0.333	0.3333	0.3331	0.2603	0.2527	0.2449	0.2372	0.2301	0.223	0.2168	0.2117	0.2045	0.2006	0.2716	0.2709	0.2721	0.2722	0.2716	0.4685	0.4518	0.4382	0.4232	0.4108	0.3991	0.3859	0.3757	0.3661	0.3575	0.489	0.4891	0.4891	0.4891	0.489	0.2292	0.2223	0.2142	0.2088	0.2024	0.1957	0.1921	0.1865	0.1817	0.1771	0.2386	0.2386	0.239	0.239	0.2386	0.2906	0.2843	0.2754	0.2675	0.2584	0.2517	0.2452	0.239	0.2326	0.2271	0.2964	0.2961	0.2962	0.2963	0.2963	0.411	0.3991	0.3882	0.3766	0.3646	0.3537	0.3445	0.3364	0.3272	0.319	0.4236	0.4233	0.4236	0.4241	0.4236
0.2344	0.2266	0.2187	0.2114	0.2073	0.2005	0.1953	0.1905	0.185	0.1807	0.243	0.2432	0.2427	0.2427	0.2432	0.1858	0.1792	0.1733	0.1689	0.164	0.1593	0.1554	0.1505	0.1467	0.1435	0.1922	0.1927	0.1926	0.1921	0.1924	0.1971	0.1973	0.1941	0.1897	0.1852	0.1793	0.1745	0.1683	0.1649	0.1606	0.1938	0.1941	0.1941	0.1936	0.194	0.1711	0.1667	0.1614	0.1547	0.1512	0.1464	0.1432	0.1389	0.1359	0.134	0.1789	0.1771	0.1773	0.1774	0.1789	0.212	0.205	0.1991	0.1929	0.1873	0.1826	0.1769	0.1719	0.1683	0.1633	0.2203	0.2201	0.2203	0.2198	0.2205	0.1931	0.1874	0.1816	0.1763	0.1703	0.1655	0.1608	0.1575	0.152	0.1491	0.2012	0.2003	0.2016	0.2013	0.2011	0.2245	0.2167	0.2102	0.2031	0.197	0.1917	0.185	0.1801	0.1756	0.1714	0.2336	0.234	0.234	0.2339	0.2336	0.231	0.2244	0.2166	0.2105	0.2041	0.1975	0.1936	0.1882	0.1829	0.1786	0.2394	0.2396	0.2399	0.2398	0.2395	0.2038	0.2001	0.1937	0.1884	0.1823	0.1773	0.1731	0.1682	0.1641	0.16	0.2056	0.2059	0.2055	0.2054	0.206	0.2687	0.2617	0.2546	0.2473	0.2392	0.2321	0.2264	0.221	0.2151	0.2094	0.2751	0.275	0.2752	0.2741	0.2752
27113	27128	27108	27117	27160	27166	27139	27173	27143	27136	27139	27139	27119	27120	27139	25133	25126	25120	25175	25151	25181	25182	25171	25158	25153	25132	25138	25135	25136	25133	27008	27407	27565	27691	27748	27705	27716	27703	27731	27744	26437	26435	26438	26439	26437	30767	30820	30861	30781	30837	30812	30851	30851	30864	30955	30839	30755	30763	30765	30838	20481	20488	20502	20519	20519	20504	20476	20509	20527	20502	20469	20443	20463	20461	20470	18966	18984	19043	19024	19002	19038	19051	19111	19022	19076	18972	18939	19000	18998	18972	31556	31555	31555	31560	31560	31579	31564	31520	31560	31567	31577	31584	31590	31587	31577	39857	39865	39839	39880	39909	39862	39925	39913	39925	39946	39830	39839	39842	39842	39832	30626	30817	30789	30806	30786	30815	30798	30825	30835	30820	30299	30298	30295	30295	30300	40977	41108	41150	41143	41155	41125	41174	41161	41172	41197	40753	40748	40754	40754	40753
0.707	0.7076	0.7056	0.7061	0.7076	0.706	0.7067	0.7072	0.705	0.705	0.7075	0.7075	0.7072	0.7073	0.7075	0.3419	0.3436	0.3429	0.3425	0.3379	0.3436	0.338	0.3379	0.3426	0.3339	0.3436	0.3439	0.3441	0.3442	0.3437	0.8856	0.8835	0.8837	0.8843	0.8844	0.8845	0.8847	0.8843	0.8844	0.8845	0.8883	0.8884	0.8884	0.8884	0.8883	0.7677	0.7682	0.7679	0.7662	0.7663	0.7659	0.7656	0.7648	0.7651	0.7653	0.7682	0.7682	0.7681	0.768	0.7682	0.2947	0.301	0.3002	0.3071	0.313	0.3165	0.3064	0.303	0.3181	0.3124	0.2984	0.3004	0.3006	0.3012	0.2981	0.8076	0.8054	0.8063	0.8075	0.8068	0.8069	0.8062	0.8061	0.8065	0.8055	0.805	0.8063	0.8058	0.8058	0.805	0.7162	0.7139	0.7148	0.7144	0.7148	0.7141	0.7148	0.7134	0.713	0.7139	0.7152	0.7149	0.715	0.715	0.7152	0.6068	0.6065	0.6056	0.6051	0.6048	0.6028	0.6024	0.6028	0.6013	0.6011	0.6087	0.6087	0.6086	0.6086	0.6087	0.5785	0.588	0.5861	0.5878	0.5858	0.5862	0.5851	0.5868	0.5852	0.5826	0.5559	0.556	0.5559	0.5559	0.5559	0.6087	0.6165	0.6185	0.6162	0.6171	0.6158	0.6171	0.616	0.6171	0.6157	0.597	0.5972	0.5972	0.5972	0.5971
763.8305	762.6589	767.3452	765.3452	767.8305	764.0732	765.5879	763.4874	763.8305	764.7595	765.8305	765.8305	764.1737	763.5879	765.8305	624.9016	622.9016	622.9016	624.5584	623.1442	623.6295	626.8011	621.9727	620.8011	622.5584	623.73	625.4874	623.73	623.73	623.73	860.5828	870.6245	871.9382	876.4234	877.7372	876.0803	877.8377	875.8377	876.9087	877.7372	848.7838	848.1981	849.3696	849.3696	848.7838	683.5706	687.9138	689.9138	684.0559	684.8843	682.5412	683.6123	686.5412	683.8549	694.1981	687.4285	680.9848	681.5706	681.5706	687.4285	560.1909	559.6051	561.6051	559.8478	560.6762	559.8478	558.6762	557.0193	558.6762	560.0904	558.7767	554.6762	559.6051	558.4335	559.3625	596.1076	594.0071	594.2498	596.0071	593.664	593.0782	594.2498	591.9066	592.5929	590.2498	588.0071	589.7645	594.0071	594.0071	588.0071	744.2986	741.7128	744.2986	744.8843	744.2986	745.127	746.6417	743.8133	745.4701	745.3696	743.127	744.8843	743.127	742.5412	743.127	852.0143	853.4285	852.0143	854.4996	855.328	851.0854	855.5706	853.8133	855.2275	855.4701	852.6001	852.6001	852.0143	852.0143	852.6001	690.4163	695.73	694.0732	695.1442	694.6589	694.9016	697.4874	693.73	693.9727	693.9727	683.3036	683.3036	683.3036	683.3036	683.3036	759.7128	763.3696	763.0265	762.4407	763.8549	761.8549	764.0975	763.8549	764.0975	765.2691	756.3991	756.9848	757.5706	757.5706	756.3991
446.0571	446.9894	443.9321	445.2399	444.5026	446.7871	445.4599	447.2451	446.5506	445.8932	445.3188	445.3188	445.9554	446.314	445.3188	505.4085	506.8901	506.769	506.5313	507.1968	507.4067	504.8593	508.5563	509.2529	507.7145	506.3377	505.0357	506.3982	506.4183	506.3579	394.3752	395.5856	397.2667	397.0402	397.262	397.3966	396.7585	397.478	397.3937	397.2048	391.4037	391.6444	391.1486	391.1634	391.4037	565.6029	563.0001	562.1148	565.4588	565.8023	567.2845	567.1126	564.6931	567.1502	560.3473	563.7449	567.5291	567.1888	567.2257	563.7266	459.4359	460.0741	458.7489	460.5705	459.89	460.2338	460.5691	462.6836	461.7163	459.9895	460.3289	463.1429	459.5127	460.4317	459.8693	399.8167	401.6113	402.695	401.107	402.2244	403.3845	402.8641	405.7328	403.3756	406.1265	405.4529	403.5416	401.9498	401.9075	405.4529	532.776	534.6164	532.7591	532.4245	532.8435	532.5715	531.2386	532.5154	532.0061	532.1959	533.971	532.8294	534.1909	534.5615	533.971	587.8515	586.9951	587.586	586.4799	586.338	588.5669	586.4067	587.437	586.642	586.7841	587.0496	587.1823	587.6302	587.6302	587.0791	557.4284	556.6209	557.4427	556.8911	556.9183	557.2483	554.8761	558.3705	558.3563	558.0847	557.2171	557.1987	557.1436	557.1436	557.2355	677.7985	676.708	677.7041	678.1094	677.0513	678.3339	677.1488	677.15	677.1159	676.4898	677.0465	676.4395	676.016	676.016	677.0465
132.1111	127	125	128.7778	127.6667	127.4444	125.4444	123.1111	122.7778	120	168.1111	164.3333	119.5556	119.5556	168.1111	100.5556	104.3333	109	111	114.3333	113.6667	122.2222	122.3333	125.5556	131.2222	166.1111	155.1111	77.2222	77.2222	166.5556	253.8889	254.4444	255	254.1111	255	250.4444	242.8889	233.4444	235.3333	233.7778	0	0	254.8889	254.8889	0	242.7778	239	239.5556	241.4444	247.4444	245.4444	245.5556	248.2222	250.5556	250.6667	247.4444	253.2222	233.5556	233.4444	247.5556	164.5556	168.7778	165.1111	154.8889	148.7778	162.8889	170.1111	184.8889	166.7778	150.2222	184.6667	206.4444	187.5556	187.5556	183.7778	249.8889	252.2222	236.1111	241.4444	251.3333	242.5556	196.7778	209.4444	219	227.7778	34.8889	91.4444	249	248.2222	34.7778	199.1111	209.2222	214.8889	209.6667	206.5556	216.3333	214	214	217	213.2222	201	150.4444	148.5556	148.4444	199.5556	161.3333	161.8889	160.5556	166.1111	170.8889	178.1111	181.5556	184	187.2222	192.4444	160.4444	242.8889	232.6667	232.6667	160.5556	23.3333	24.6667	26	26.7778	29.1111	32.1111	38	41.6667	45.6667	48	38.1111	118.7778	75.6667	75.6667	38.1111	27	33.5556	31.5556	34.4444	38.3333	36.6667	49	93.6667	102	104.5556	81	66.6667	116.6667	115.7778	81.1111
1.0999	0	0	0.7857	0.4714	0.6849	0.8315	0.737	0.6285	0.8165	5.0869	2.2608	0.6849	0.6849	5.0869	1.5713	1.2472	0.4714	3.1269	0.8165	0.9428	1.3966	0.6667	2.114	1.3966	3.1427	1.9689	2.4394	2.4394	3.1309	0.3143	0.4969	0	0.737	0	3.6549	3.665	1.4229	2.2608	2.6574	0	0	0.3143	0.3143	0	1.4741	1.8856	2.0062	0.8315	4.4749	4.4997	1.1653	1.0304	2.3623	0.4714	4.1395	0.4157	0.4969	0.4969	4.0031	4.6693	6.3207	10.5034	12.1604	12.6559	7.2793	10.4397	11.6471	24.3574	6.7951	5.0553	7.2282	10.1883	10.1883	5.0942	6.6239	7.1768	13.6418	3.9189	4.5947	16.0493	16.464	18.2946	14.3914	17.5738	25.6578	22.6672	9.6724	10.1081	25.6375	6.7568	0.7857	4.4583	6.0369	10.6156	2.8284	3.6818	3.266	5.0332	4.8712	5.1854	12.3568	8.0844	8.1936	4.6455	0.4714	0.737	1.1653	1.3699	1.4487	1.7285	1.1653	1.633	1.8122	1.8325	1.95	1.663	1.6997	1.6997	1.95	0.4714	0.4714	0.6667	0.6285	0.9938	0.9938	0.9428	0.9428	0.4714	0.4714	4.4583	13.8145	3.496	3.496	4.4583	14.8399	9.9678	8.6167	3.5625	6.1101	5.2281	16.7796	19.4136	4.9889	2.5868	4.7376	12.9099	20.1439	19.9877	4.7245
